amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-buyer-requested-cancellation 
702-7349455-6360221	702-7349455-6360221	2021-11-01T02:06:02+00:00	2021-11-01T08:24:12+00:00	Shipped	Amazon	Amazon.ca			Expedited	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Bubble Gum]	ted-bubble-gum	B07DVV41YT	Shipped	1	CAD	8.99	1.17							Whitby	Ontario	L1N 6B7	CA		false			
702-7349455-6360221	702-7349455-6360221	2021-11-01T02:06:02+00:00	2021-11-01T08:24:12+00:00	Shipped	Amazon	Amazon.ca			Expedited	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Cotton Candy]	ted-cotton-candy	B07DVSYHB9	Shipped	1	CAD	8.99	1.17							Whitby	Ontario	L1N 6B7	CA		false			
701-3917109-7889830		2021-10-30T17:12:20+00:00	2021-11-02T04:04:57+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Dora-Stars Air Vent Decoration - Cute Super Hero Decorative Vent Clip for Cars, Bedroom or Office [Superman]	vh-superman_fbm	B08KRMDFKC	Shipped	1	CAD	7.99	1.04	2.49	0.32					Hamilton	Ontario	L8H 6B7	CA		false			
701-8216012-1721818	701-8216012-1721818	2021-10-28T18:55:11+00:00	2021-10-30T07:24:38+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [British]	ted-british	B07DVSL2FV	Shipped	1	CAD	8.99	1.17							Toronto	Ontario	M2J 0E1	CA		false			
702-8320354-0371423	702-8320354-0371423	2021-10-26T05:44:17+00:00	2021-10-28T15:29:32+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Dora-Stars Air Vent Decoration - Cute Super Hero Decorative Vent Clip for Cars, Bedroom or Office [Baymax Armed]	vh-baymaxarmed	B08KRS214K	Shipped	1	CAD	6.99	0.35							Coldstream	British Columbia	V1B 2A4	CA		false			
701-8923404-0372233	701-8923404-0372233	2021-10-26T02:22:56+00:00	2021-10-27T19:44:42+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Joma]	ted-joma	B07DVN616H	Shipped	1	CAD	7.99	1.04							Brampton	Ontario	L6R 1H6	CA		false			
701-8923404-0372233	701-8923404-0372233	2021-10-26T02:22:56+00:00	2021-10-27T19:44:42+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Passion Fruit]	ted-passion-fruit	B07DVW1319	Shipped	1	CAD	7.99	1.04							Brampton	Ontario	L6R 1H6	CA		false			
702-5863289-6797016	702-5863289-6797016	2021-10-26T00:57:16+00:00	2021-10-27T21:18:46+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Dora-Stars Air Vent Decoration - Cute Super Hero Decorative Vent Clip for Cars, Bedroom or Office [Terminator]	vh-terminator	B08KRSZ1SH	Shipped	1	CAD	6.99	0.91							Toronto	Ontario	M5J 2H2	CA		false			
701-0507646-1788202		2021-10-25T00:56:16+00:00	2021-10-25T15:21:31+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Dora-Stars 3-Pack Super Hero Gift Set Air Vent Decoration - Cute Marvel/DC Super Hero Decorative Vent Clip for Cars, Home or Office [Spider Man, Capta	vh-super-3-2__fbm	B08LZ156H4	Shipped	1	CAD	17.99	2.34	2.49	0.32					North York	Ontario	M3L 0A5	CA		false			
702-8033635-4517816		2021-10-22T16:47:01+00:00	2021-10-25T15:37:03+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Bunny Fresh Car Air Freshener - Hanging Cute Bunny Air Fresheners for Car, Home or Office. [Strawberry Flavour]	bunny-strawberry	B085R9ZYRS	Shipped	1	CAD	9.99	0.5							Winnipeg	Manitoba	R2J 3N3	CA		false			
702-8033635-4517816		2021-10-22T16:47:01+00:00	2021-10-25T15:37:03+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Bunny Fresh Car Air Freshener - Hanging Cute Bunny Air Fresheners for Car, Home or Office. [Winter Sakura]	bunny-winter-sakura_fbm	B085RB2HYP	Shipped	1	CAD	9.99	0.5							Winnipeg	Manitoba	R2J 3N3	CA		false			
