amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-buyer-requested-cancellation 
701-3063547-7178656	3982874968188	2021-09-01T02:38:41+00:00	2021-09-03T04:26:26+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Lavender]	ted-lavender_fbm	B07DVVBVPZ	Shipped	1	CAD	8.99	0.45							Saint-Lazare	Quebec	J7T 1Y5	CA		false			
702-1183312-2889044	702-1183312-2889044	2021-09-01T00:45:15+00:00	2021-09-02T06:51:12+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Bubble Tea]	ted-bubble-tea	B07DVVBWYW	Shipped	1	CAD	7.99	1.04							Sarnia	Ontario	N7V 3W8	CA		false			
702-8986953-4392247		2021-08-30T22:33:59+00:00	2021-09-03T06:27:34+00:00	Cancelled	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Bunny Fresh Car Air Freshener - Hanging Cute Bunny Air Fresheners for Car, Home or Office. [One Million]	bunny-one-million_fbm	B085RQWNKY		0	CAD	9.99	0.5							Surrey	British Columbia	V3T 4A8	CA		false			
702-0303686-2845844	3979396317308	2021-08-30T10:30:51+00:00	2021-08-31T01:45:47+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Bunny Fresh Car Air Freshener - Hanging Cute Bunny Air Fresheners for Car, Home or Office. [Wood Sage & Sea Salt]	bunny-wood-sage-sea-salt	B085RMPTJH	Shipped	1	CAD	9.99	0.5							Montreal	Quebec	H2X 1N2	CA		false			
701-8480389-7459413	701-8480389-7459413	2021-08-30T01:25:48+00:00	2021-08-30T17:26:36+00:00	Shipped	Amazon	Amazon.ca			Expedited	Ted A Car Air Freshener - 3 Pack Special Flavour Hanging Cute Perfumes/Fragrance for Car, Home or Office. [Baby Powder, Cookie Vanilla, Umeshu]	ted-special-3-3	B08SKVTZGX	Shipped	1	CAD	13.99	1.82	1.24					1.24	Mississauga	Ontario	L5R 2L3	CA		false			
702-9899847-2465836	702-9899847-2465836	2021-08-29T18:29:23+00:00	2021-08-31T04:13:37+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [British]	ted-british	B07DVSL2FV	Shipped	1	CAD	8.99	1.17							newmarket	Ontario	L3Y 8P7	CA		false			
702-6251372-7838636	702-6251372-7838636	2021-08-29T18:26:50+00:00	2021-08-31T07:54:49+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Green Tea]	ted-green-tea	B07DVSZWK7	Shipped	2	CAD	17.98	2.34							newmarket	Ontario	L3Y 8P7	CA		false			
702-5134734-5818653	702-5134734-5818653	2021-08-29T16:55:22+00:00	2021-08-31T03:52:40+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Baby Powder]	ted-baby-powder	B07DVQWKFR	Shipped	1	CAD	8.99	1.17							Sarnia	Ontario	N7V 3W8	CA		false			
702-8917855-6665002	702-8917855-6665002	2021-08-29T02:02:35+00:00	2021-08-29T18:25:46+00:00	Cancelled	Amazon	Amazon.ca			Expedited	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Umeshu]	ted-umeshu	B07DVYHSH7	Cancelled	0										newmarket	Ontario	L3Y 8P7	CA		false			
702-8169529-7013043	702-8169529-7013043	2021-08-29T02:02:35+00:00	2021-08-30T03:46:44+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Aroma SPA]	ted-aroma-spa	B07DW4PYNN	Shipped	2	CAD	15.98	2.08							newmarket	Ontario	L3Y 8P7	CA		false			
702-8169529-7013043	702-8169529-7013043	2021-08-29T02:02:35+00:00	2021-08-30T03:46:44+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Rose]	ted-rose	B07DVRBYY3	Shipped	4	CAD	31.96	4.16							newmarket	Ontario	L3Y 8P7	CA		false			
702-8169529-7013043	702-8169529-7013043	2021-08-29T02:02:35+00:00	2021-08-30T03:46:44+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Ocean]	ted-ocean	B07DVP5W1L	Shipped	2	CAD	15.98	2.08							newmarket	Ontario	L3Y 8P7	CA		false			
702-4118537-1813832	702-4118537-1813832	2021-08-29T02:02:35+00:00	2021-08-29T18:25:46+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Bubble Tea]	ted-bubble-tea	B07DVVBWYW	Shipped	3	CAD	23.97	3.12							newmarket	Ontario	L3Y 8P7	CA		false			
702-2960676-8709816	3977576972412	2021-08-29T02:02:35+00:00	2021-08-31T05:18:04+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Snow Fresh]	ted-snow-fresh	B07FGFXGLQ	Shipped	2	CAD	17.98	2.34							newmarket	Ontario	L3Y 8P7	CA		false			
702-1592667-5465039	3977364701308	2021-08-28T23:20:00+00:00	2021-08-31T01:42:20+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Banana Ice-cream]	ted-banana-ice-cream_fbm	B07FGG8W5R	Shipped	1	CAD	8.99	0.45							Kelowna	BC	V1W 4P3	CA		false			
702-7862513-8384216	702-7862513-8384216	2021-08-28T18:50:15+00:00	2021-08-30T16:19:23+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Dora-Stars 7-Pack Star War Gift Set Air Vent Decoration - Cute Marvel/DC Super Hero Decorative Vent Clip for Cars, Home or Office	vh-starwar-7	B08RG4RNHF	Shipped	1	CAD	19.99	1.0							Calgary	Alberta	T3J 3J1	CA		false			
701-1977760-9082646	701-1977760-9082646	2021-08-28T15:27:46+00:00	2021-08-29T23:19:23+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Dora-Stars Air Vent Decoration - Cute Super Hero Decorative Vent Clip for Cars, Bedroom or Office [Baymax Armed]	vh-baymaxarmed	B08KRS214K	Shipped	1	CAD	6.99	1.05							Moncton	New Brunswick	E1G 4X2	CA		false			
701-4497534-9685026	701-4497534-9685026	2021-08-28T01:22:32+00:00	2021-08-29T16:22:59+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Dora-Stars Air Vent Decoration - Cute Super Hero Decorative Vent Clip for Cars, Bedroom or Office [Iron Man]	vh-ironman	B08KRH9G4V	Shipped	3	CAD	20.97	1.05							Calgary	AB	T2P 2B3	CA		false			
702-0162478-6815462	702-0162478-6815462	2021-08-27T01:32:08+00:00	2021-08-27T16:15:51+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Dora-Stars Air Vent Decoration - Cute Super Hero Decorative Vent Clip for Cars, Bedroom or Office [Hulk]	vh-hulk	B08KRJG26Z	Shipped	1	CAD	6.99	0.35							Summerland	British Columbia	V0H 1Z3	CA		false			
702-6624190-8138651	3974307446908	2021-08-26T20:41:38+00:00	2021-08-27T02:20:26+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Dora-Stars Air Vent Decoration - Cute Super Hero Decorative Vent Clip for Cars, Bedroom or Office [Thor]	vh-thor_fbm	B08KRP4S7C	Shipped	1	CAD	7.99	0.4	2.49	0.12					Montreal	Quebec	H1K 5C4	CA		false			
701-9522690-5160210	3974178996348	2021-08-26T19:02:58+00:00	2021-08-27T02:26:51+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Lavender]	ted-lavender_fbm	B07DVVBVPZ	Shipped	1	CAD	8.99	0.45							Winnipeg	Manitoba	R3L0J1	CA		false			
701-5157479-5381866	701-5157479-5381866	2021-08-25T20:17:29+00:00	2021-08-26T21:49:16+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Ted A Car Air Freshener - Hanging Cute Perfumes/Fragrance for Car, Bedroom or Office. [Hazelnut Macaron]	ted-hazelnut-macaron	B07DVWTSTF	Shipped	1	CAD	8.99	0.45							Mirabel	Quebec	J7J 0S3	CA		false			
